
31;1;28;
25;2;15;
8;3;12;
16;2;21;
6;2;20;
21;2;11;
19;1;31;
14;2;8;
6;3;10;
18;2;14;
28;1;35;
4;2;10;
1;1;13;
11;3;16;
15;2;16;
17;4;8;
4;3;15;
3;2;26;
22;3;29;
8;2;12;
15;2;9;
26;1;33;
5;2;10;
9;3;13;
26;6;11;
1;5;13;
9;4;7;
10;3;28;
2;2;28;
0;3;31;
30;3;26;
12;4;32;
14;3;33;
20;3;15;
1;2;22;
31;1;13;
13;3;22;
11;4;28;
14;3;31;
22;2;14;
25;2;8;
23;1;32;
7;1;34;
0;2;15;
28;2;21;
14;3;24;
21;2;22;
15;2;25;
29;1;12;
24;3;13;
14;2;16;
6;1;29;
19;3;7;
15;2;10;
27;2;16;
3;1;33;
17;1;12;
26;2;13;
13;2;18;
5;1;32;
2;2;18;
8;3;8;
16;5;34;
27;4;10;
30;3;14;
11;3;25;
17;3;18;
22;3;14;
18;2;11;
4;4;19;
9;4;19;
29;4;15;
18;4;10;
16;4;26;
12;3;33;
26;4;8;
11;3;21;
17;3;27;
19;2;35;
23;1;27;
25;2;10;
28;4;12;
11;3;16;
12;2;32;
10;2;31;
20;5;5;
27;4;28;
25;3;27;
31;2;29;
23;3;33;
6;2;17;
13;3;19;
30;3;18;
7;3;25;
27;3;18;
2;2;6;
29;1;24;
18;2;16;
1;1;19;
15;4;11;
4;3;19;
30;3;22;
7;2;18;
0;1;12;
8;1;16;
27;3;6;
22;2;8;
21;2;15;
11;2;25;
5;2;34;
24;3;12;
31;3;23;
11;3;29;
16;2;19;
15;3;16;
14;2;26;
28;2;29;
3;1;6;
10;2;6;
19;3;13;
7;2;14;
9;1;33;
6;3;10;
12;2;11;
18;3;16;
26;4;12;
23;4;24;
25;4;32;
6;3;16;
2;2;18;
1;3;16;
30;2;15;
3;2;33;
22;1;22;
13;2;33;
3;2;12;
17;1;13;
20;2;5;
5;1;5;
16;2;5;
19;2;34;
27;1;31;
29;2;12;
10;2;32;
11;2;5;
21;1;29;
24;1;22;
28;2;16;
1;1;25;
7;1;11;
0;2;13;
17;2;31;
8;2;23;
12;4;15;
7;3;20;
4;2;28;
17;1;8;
31;1;15;
17;3;19;
14;3;29;
23;4;31;
4;5;12;
30;4;17;
6;3;23;
16;2;24;
0;1;33;
18;2;35;
0;2;30;
13;1;34;
23;2;16;
28;1;18;
9;2;27;
23;2;18;
26;1;12;
12;3;13;
11;2;16;
28;2;28;
15;1;31;
25;1;6;
28;4;18;
19;3;23;
23;3;26;
18;2;26;
1;2;28;
2;3;30;
27;5;16;
18;4;19;
14;3;29;
23;3;26;
22;2;31;
30;1;6;
5;3;10;
10;2;11;
7;1;28;
4;1;14;
8;2;8;
3;2;32;
12;3;30;
16;3;17;
23;3;31;
29;4;33;
6;3;29;
5;2;23;
20;2;27;
2;3;5;
11;2;16;
7;2;7;
21;1;32;
24;1;18;
30;3;22;
31;2;34;
28;3;5;
21;3;35;
11;2;13;
13;2;25;
9;2;15;
31;2;33;
26;1;13;
25;1;9;
12;2;30;
25;4;32;
27;3;24;
23;2;32;
16;1;35;
17;1;9;
3;5;5;
27;5;9;
10;4;18;
8;3;20;
0;2;25;
13;4;32;
17;3;14;
26;3;24;
19;2;31;
10;3;27;
30;2;18;
22;2;26;
15;2;22;
6;1;35;
24;3;8;
31;3;13;
14;4;10;
10;3;22;
6;3;20;
1;3;13;
3;3;30;
21;3;15;
31;2;13;
29;1;17;
4;1;18;
20;2;12;
5;3;25;
15;2;12;
28;2;28;
18;4;8;
11;4;11;
4;4;29;
19;4;9;
7;3;8;
2;2;27;
8;4;18;
14;4;18;
9;3;20;
28;2;12;
22;6;32;
6;6;18;
4;6;19;
2;5;18;
1;4;28;
19;3;26;
28;3;21;
12;2;13;
27;6;6;
15;6;34;
0;5;13;
19;5;15;
16;4;6;
4;5;24;
9;4;26;
20;3;20;
22;2;14;
25;1;28;
20;2;14;
10;1;17;
11;1;12;
1;2;12;
29;1;18;
21;2;24;
6;2;32;
26;1;12;
24;2;25;
17;2;26;
1;3;6;
3;2;14;
19;3;18;
23;3;11;
22;3;9;
27;3;10;
6;2;29;
31;2;29;
17;4;15;
18;4;11;
28;3;8;
22;2;14;
30;1;32;
29;3;10;
24;2;21;
7;1;30;
